"Gemeindeverwaltung","Affoltern im Emmental","gemeinde@affolternimemmental.ch","034 435 87 87","3416","Affolternstrasse","","http://www.affolternimemmental.ch"
"Amministrazione comunale","Agno","comuneagno@agno.ch","091 612 23 23","6982","Piazza Colonnello Vicari","","http://www.agno.ch"
"Gemeinde Affeltrangen","Affeltrangen","info@affeltrangen.ch","071 917 12 49","9556","Hauptstrasse ","6","http://www.affeltrangen.ch/"
"Mairie d'Aire-la-Ville","Aire-la-Ville","info@aire-la-ville.ch","022 757 48 29 ","1288","Rue du Vieux-Four","37","https://www.aire-la-ville.ch/"
"Gemeindeverwaltung Affoltern am Albis","Affoltern am Albis","info@affoltern-am-albis.ch","044 762 56 56","8910","Marktplatz","1","http://www.affoltern-am-albis.ch"
"Gemeindeverwaltung Agarn","Agarn","gemeinde@agarn.ch","027 474 96 30","3951","Alte Kantonsstrasse","14","http://www.agarn.ch"
"Gemeindeverwaltung Aeugst am Albis","Aeugst am Albis","gemeinde@aeugst-albis.ch","044 763 50 60","8914","Dorfstrasse","22","http://www.aeugst-albis.ch/"
"Comune di Airolo","Airolo","comune@airolo.ch","091 873 81 20","6780","Via San Gottardo","85","http://airolo.ch/"
"Administration communale ","Aigle","administration@aigle.ch"," 024 468 41 11","1860","pl. du Marché","1","http://www.aigle.ch"
"Administration communale","Agiez","agiez@bluewin.ch","024 441 70 92","1352","le Collège","","http://www.agiez.ch"
"Gemeinde Alberswil","Alberswil","gemeindekanzlei@alberswil.ch ","041 980 17 54","6248","Dorf","4","http://www.alberswil.ch"
"Gemeindeverwaltung Albinen","Albinen","gemeinde@albinen.ch","027 473 20 23","3955","Kirchgasse","2","http://www.albinen.ch"
"Albula/Alvra","Albula/Alvra","info@albula-alvra.ch","081 681 12 44","7450","Veia Baselgia","6","http://www.albula-alvra.ch"
"Administration communale d'Allaman","Allaman","admin@allaman.ch","021 807 34 56","1165","Place de l'Eglise","2","http://www.allaman.ch/"
"Gemeindeverwaltung Alchenstorf","Alchenstorf","gemeinde@alchenstorf.ch","034 413 88 88","3425","Utzenstorfstrasse","3","http://www2.koppigen.ch"
"Gemeindeverwaltung Alpthal","Alpthal","gemeinde@alpthal.ch","055 412 24 52","8849","Dorfstr.","19","http://www.alpthal.ch"
"Administration communale d'Alle","Alle","secretariat@alle.ch","032 471 02 02","2942","Rue de l'Eglise","5","http://www.alle.ch/"
"Gemeindeverwaltung ","Alpnach","kanzlei@alpnach.ow.ch","041 672 96 96","6055","Bahnhofstr.","15","http://www.alpnach.ch"
"Gemeindeverwaltung Allmendingen bei Bern     ","Allmendingen","info@allmendingen.ch","031 951 24 14","3112","Thunstr.","9","http://www.allmendingen.ch"
"Einwohnergemeinde Allschwil","Allschwil","gemeinde@allschwil.bl.ch","061 486 25 25","4123","Baslerstr.","111","http://www.allschwil.ch/"
"Gemeindeverwaltung Altdorf (UR)","Altdorf (UR)","info@altdorf.ch","041 874 12 12","6460","Tellsgasse","25","http://www.altdorf.ch"
"Gemeindeverwaltung","Altnau","info@altnau.ch ","071 694 50 50 ","8595","Scherzingerstrasse","2","http://www.altnau.ch"
"Gemeinde Altendorf","Altendorf","info@altendorf.ch ","055 451 77 77 ","8852","Dorfplatz","3","http://www.altendorf.ch"
"Gemeindeverwaltung ","Altbüron","gemeindeverwaltung@altbueron.ch","062 207 00 80","6147","Schulhaus","","http://www.altbueron.ch"
"Gemeindeverwaltung Altikon","Altikon","kanzlei@altikon.ch","052 336 12 26","8479","Schloss","","http://www.altikon.ch"
"Gemeindekanzlei","Altishofen","gemeindeverwaltung@altishofen.ch","062 756 21 84","6246","Schloss","","https://altishofen.ch/home"
"Gemeindeverwaltung Amden","Amden","roman.gmuer@amden.ch","058 228 25 00","8873","Dorfstrasse","22","http://www.gemeinde-amden.ch/"
"Gemeindeverwaltung Amlikon-Bissegg","Amlikon-Bissegg","info@amlikon-bissegg.ch","058 346 06 46","8514","Junkholz-Frauenfeldersr.","8","http://www.amlikon-bissegg.ch"
"Stadt Altstätten","Altstätten","info@altstaetten.ch","071 757 77 11","9450","Rathausplatz","2","http://www.altstaetten.ch"
"Municipio di Alto Malcantone","Alto Malcantone","cancelleria@altomalcantone.ch","091 609 14 28","6937","","","http://www.altomalcantone.ch"
"Gemeindeverwaltung Ammerswil","Ammerswil","gemeindekanzlei@ammerswil.ch","062 891 25 31","5600","Lenzburgerstrasse","1","http://www.ammerswil.ch"
"Stadt Amriswil","Amriswil","info@amriswil.ch","071 414 11 11","8580","Arbonerstrasse","2","http://www.amriswil.ch"
"Gemeindeverwaltung Andwil (SG)","Andwil (SG)","gemeinde@andwil.ch","071 385 12 15","9204","Lätschenstr.","7","http://www.andwil.ch"
"Gemeindeverwaltung","Amsoldingen","gemeinde@amsoldingen.ch","033 341 11 88","3633","Dorfstrasse","35","http://www.amsoldingen.ch"
"Commune d'Anières","Anières","info@anieres.ch","022 751 11 45","1247","rte de la Côte-d'Or","1","http://www.anieres.ch"
"Gemeindeverwaltung Andelfingen","Andelfingen","kanzlei@andelfingen.ch","052 304 27 00","8450","Thurtalstr.","9","http://www.andelfingen.ch/"
"Gemeindeverwaltung Andeer","Andeer","gemeinde@andeer.ch","081 661 12 52","7440","Veia da Scola","36","http://www.gemeinde-andeer.ch"
"Commune d'Anniviers","Anniviers","info@anniviers.org","027 476 15 00","3961","","","https://www.anniviers.org/"
"Gemeindeverwaltung","Anwil","gemeindeanwil@yetnet.ch  ","061 991 07 90 ","4469","Schulweg","","http://www.anwil.ch/"
"Gemeindeverwaltung Andermatt","Andermatt","gemeinde@andermatt.ch","041 888 71 41","6490","Kirchgasse","10","http://www.gemeinde-andermatt.ch"
"Bezirksverwaltung Appenzell","Appenzell","info@appenzell.ai.ch","071 788 50 30","9050","Kronengarten","8","http://www.appenzell.org/"
"Commune d'Arbaz","Arbaz","secretariat@arbaz.ch","027 399 28 28","1974","Route du Village","14","http://www.arbaz.ch/"
"Amministrazione comunale","Arbedo-Castione","comune@arbedocastione.ch","091 820 11 40","6517","Via Centro Civico","","http://www.arbedocastione.ch"
"Gemeindeverwaltung","Arboldswil","gemeinde@arboldswil.ch","061 933 13 13","4424","Ziefnerstrasse","","http://www.arboldswil.ch/"
"Gemeindeverwaltung","Arch","gemeinde@arch-be.ch","032 679 33 22","3296","Unterdorfstr.","12","http://www.arch-be.ch/index.php/einwohnergemeinde-35/gemeindeverwaltung"
"Administration communale","Ardon","administration@ardon.ch","027 305 15 85","1957","Place Saint-Jean","","http://www.ardon.ch"
"Stadt Arbon","Arbon","stadt@arbon.ch","071 447 61 61","9320","Hauptstr.","12","http://www.arbon.ch/"
"Gemeindeverwaltung","Arisdorf","gemeindeverwaltung@arisdorf.ch","061 816 90 40 ","4422","Mitteldorf","4","http://www.arisdorf.ch/"
"Amministrazione comunale","Aranno","mun.aranno@bluewin.ch","091 609 12 00","6994","Ra Strada Dra Cà di Biss","","http://www.aranno.ch"
"Gemeindeverwaltung Arni","Arni (AG)","gemeindekanzlei@arni-ag.ch","056 649 90 10","8905","Staldenstrasse","","http://www.arni-ag.ch"
"Municipio di Arogno","Arogno","comune@arogno.ch","091 649 74 37","6822","Stráda Növa","44","http://www.arogno.ch"
"Commune d'Arnex-sur-Nyon","Arnex-sur-Nyon","greffe@arnex-sur-nyon.ch","022 367 13 09 ","1277","Ch. Sous-le-Village","3","http://www.arnex-sur-nyon.ch/"
"Gemeindeverwaltung Arlesheim","Arlesheim","gemeindeverwaltung@arlesheim.bl.ch","061 706 95 55 ","4144","Domplatz","8","http://www.arlesheim.ch"
"Administration communale","Arnex-sur-Orbe","commune.arnex@bluewin.ch","024 441 51 37","1321","Rue de la gare","8","http://www.arnex-sur-orbe.ch/"
"Gemeindekanzlei","Arosa","kanzlei@gemeindearosa.ch","081 378 67 57","7050","Rathaus","","http://www.arosa.ch/sites/home/index_gemeinde.html?lang2=de"
"Gemeindeverwaltung Arth","Arth","info@arth.ch"," 041 859 02 02","6415","Rathausplatz","","http://www.arth.ch"
"Gemeindeverwaltung Arni (BE)","Arni (BE)","info@arnibe.ch ","031 701 10 88","3508","Dreierweg","7","http://www.arnibe.ch/index.php?id=55"
"Gemeindeverwaltung Aristau","Aristau","gemeinde@aristau.ch ","056 675 10 80","5628","Chilerain","2","http://www.aristau.ch"
"Administration communale d'Arzier-Le Muids","Arzier-Le Muids","commune@arzier.ch","022 366 87 87","1273","Rue du Village","22","http://www.arzier.ch"
"Administration communale","Assens","","021 886 06 30","1042","Rte St-Germain","3","http://assens.ch/"
"Municipio di Ascona","Ascona","cancelleria@ascona.ch","091 759 80 00","6612","Piazza San Pietro","1","http://www.ascona.ch"
"Commune d'Attalens","Attalens","administration@attalens.ch  ","021 947 41 85 ","1616","Rue de l'Eglise 4","","http://www.attalens.ch"
"Amministrazione comunale","Astano","municipio.astano@bluewin.ch","091 608 15 33 ","6999","Via alla Chiesa","","http://www.astano.ch"
"Gemeindeverwaltung Attinghausen","Attinghausen","info@attinghausen.ch","041 874 14 50","6468","Schulhausweg","9","http://www.attinghausen.ch"
"Einwohnergemeinde Attiswil ","Attiswil","gemeindeverwaltung@attiswil.ch ","032 637 59 40 ","4536","Dorfstr.","3","http://www.attiswil.ch"
"Commune d'Aubonne","Aubonne","municipalite@aubonne.ch","021 821 51 00 ","1170","pl. du Marché","12","http://www.aubonne.ch"
"Commune d'Auboranges","Auboranges","commune@auboranges.ch","021 907 60 90","1673","Route du Menhir","63","http://www.auboranges.ch"
"Gemeindeverwaltung Auenstein","Auenstein","gemeindekanzlei@auenstein.ch","062 897 03 02","5105","Schürmatt ","1","http://www.auenstein.ch"
"Gemeindeverwaltung Au (SG)","Au (SG)","info@au.ch","071 747 02 10","9434","Kirchweg","6","http://www.au.ch"
"Gemeindeverwaltung","Augst","gemeindeverwaltung@augst.ch ","061 816 97 77 ","4302","Poststr.","1","http://www.augst.ch/"
"Gemeindeverwaltung ","Ausserberg","gemeinde@ausserberg.ch","027 948 07 80","3938","Gisentell","","http://www.ausserberg.ch/"
"Gemeindeverwaltung Auw","Auw","gemeindekanzlei@auw.ch","056 677 70 20","5644","Bergstr.","2","http://www.auw.ch"
"Administration communale ","Autigny","commune@autigny.ch ","026 477 16 25","1742","Rte de Chénens","12","http://www.autigny.ch"
"Gemeindeverwaltung","Auswil","gemeindeschreiberei@auswil.ch","062 965 11 49","4944","Hauptstr.","37a","http://www.auswil.ch"
"Cancelleria Comunale","Avegno Gordevio","info@avegnogordevio.ch","091 760 91 25","6672","Via Vallemaggia","74","https://www.avegnogordevio.ch/"
"Mairie d’Avully","Avully","info@avully.ch","022 756 92 50","1237","ch. des Tanquons","40","http://www.avully.ch"
"Gemeindekanzlei Cresta","Avers","gemeinde@avers.ch","081 667 11 62","7447","Cresta","","http://www.gemeindeavers.ch"
"Maison communale","Avry","commune@avry.ch ","026 470 40 00","1754","rte des Fontanettes","57","http://www.avry.ch"
"Administration communale","Avenches","commune@avenches.ch","026 675 51 21","1580","Rue Centrale","33","http://www.commune-avenches.ch"
"Commune d'Avusy","Avusy","info@avusy.ch","022 756 90 60","1285","rte du Creux-du-Loup","42","http://www.avusy.ch/contacts/index.php"
"Gemeindeverwaltung Bachenbülach","Bachenbülach","info@bachenbuelach.ch","044 864 34 80","8184","Schulhausstr.","1","http://www.bachenbuelach.ch/"
"Commune d'Ayent","Ayent","info@ayent.ch","027 399 26 26","1966","Rte d'Anzère","1","http://www.ayent.ch/"
"Gemeindeverwaltung Bachs","Bachs","gemeindeverwaltung@bachs.ch","043 433 20 30 ","8164","Gmeindhusweg","8","http://www.bachs.ch/"
"Gemeindeverwaltung Bad Ragaz","Bad Ragaz","info@badragaz.ch","081 303 49 50","7310","Rathausplatz","2","https://www.egovcenter.ch/badragazegov"
"Amministrazione comunale Balerna","Balerna","cancelleria@balerna.ch","091 695 11 60","6828","via S. Gottardo","90","http://www.balerna.ch"
"Gemeindeverwaltung Baar","Baar","gemeindebuero@baar.ch","041 769 01 11","6340","Rathausstr.","6","http://www.baar.ch/de/"
"Stadtverwaltung Baden","Baden","stadtbuero@baden.ag.ch","056 200 81 11","5400","Rathausgasse","1","http://www.baden.ch"
"Administration communale de Ballaigues","Ballaigues","ballaigues@bluewin.ch","021 843 99 11","1338","Grand-Rue","41","http://www.ballaigues.ch"
"Gemeinde Balgach","Balgach","gemeinde@balgach.ch","071 727 14 14","9436","Turnhallestr.","1","http://www.balgach.ch"
"Commune de Ballens","Ballens","greffe@ballens.ch","021 809 52 39","1144","Rue du Collège","5","http://www.ballens.ch"
"Gemeinde Balm","Balm bei Günsberg","info@balm-balmberg.ch","032 637 04 73","4525","Balmweid","9","http://www.balm-balmberg.ch/"
"Gemeindeverwaltung Balsthal","Balsthal","info@balsthal.ch","062 386 76 76","4710","Goldgasse","13","http://www.balsthal.ch"
"Mairie de Bardonnex","Bardonnex","info@bardonnex.ch","022 721 02 20","1257","rte de Cugny","99","http://www.bardonnex.ch"
"Gemeindeverwaltung Ballwil","Ballwil","gemeindeverwaltung@ballwil.lu.ch","041 449 55 20","6275","Ambar","2","http://www.ballwil.ch"
"Gemeindeverwaltung","Bannwil","gemeinde@bannwil.ch","062 963 22 50","4913","Winkelstr.","2","http://www.bannwil.ch"
"Gemeindeverwaltung Baltschieder","Baltschieder","gemeinde@baltschieder.ch","027 948 43 00","3937","","","http://www.baltschieder.ch"
"Gemeindeverwaltung","Bäretswil","info@baeretswil.ch","044 939 90 40","8344","Schulhausstr.","2","http://www.baeretswil.ch"
"Gemeindeverwaltung Bargen (BE)","Bargen (BE)","info@bargen-be.ch","032 392 12 78 ","3282","Käsereigasse","1","http://www.bargen-be.ch"
"Commune de Basse-Allaine","Basse-Allaine","administration@basse-allaine.ch","032 466 14 70","2923","Administration communale","","http://www.basse-allaine.ch/"
"Gemeindeverwaltung Basadingen-Schlattingen","Basadingen-Schlattingen","gemeinde@basadingen-schlattingen.ch ","058 346 01 60","8254","Rychgass","2","http://www.basadingen-schlattingen.ch"
"Verwaltung des Kantons Basel-Stadt und der Einwohnergemeinde Basel","Basel","info@bs.ch","061 267 81 81","4001","Marktplatz","9","http://www.bs.ch/"
"Gemeindeverwaltung","Bäriswil","info@baeriswil.ch","031 850 33 50 ","3323","Hubelweg","10","http://www.baeriswil.ch/"
"Administration communale","Bas-Intyamon","commune@bas-intyamon.ch","026 921 81 00","1667","Route du Tôt","1","http://www.bas-intyamon.ch"
"Gemeindeverwaltung","Bärschwil","gemeindeverwaltung@baerschwil.ch","061 761 22 10","4252","Steinweg","114","http://www.baerschwil.ch"
"Gemeindekanzlei","Bargen (SH)","kanzlei@bargen.ch","052 653 13 82","8233","Steigstrasse ","6","http://www.bargen.ch"
"Commune de Bassins","Bassins","commune@bassins.ch","022 366 23 22 ","1269","Place de la Couronne","4","http://www.bassins.ch/"
"Gemeindeverwaltung Bassersdorf","Bassersdorf","gemeinde@bassersdorf.ch","044 838 85 85","8303","Karl Hügin-Platz","1","http://www.bassersdorf.ch"
"Administration communale de Baulmes","Baulmes","info@baulmes.ch","024 459 15 66 ","1446","Rue de l'Hôtel de Ville","9","http://www.baulmes.ch"
"Gemeindeverwaltung Bauma","Bauma","info@bauma.ch","052 397 10 10","8494","Dorfstrasse","41","http://www.bauma.ch"
"Gemeindeverwaltung Bättwil","Bättwil","verwaltung@baettwil.ch","061 735 96 96","4112","Rebenstrasse","31","http://www.baettwil.ch"
"Gemeindeverwaltung","Bätterkinden","gemeindeverwaltung@baetterkinden.ch","032 666 42 60 ","3315","Bahnhofstr.","4","http://www.baetterkinden.ch/"
"Amministrazione comunale Bedretto","Bedretto","comune@bedretto.ch","091 869 17 17","6781","Villa","","http://www.bedretto.ch/it/municipality"
"Gemeindeverwaltung","Beatenberg","gemeindeverwaltung@beatenberg.ch","033 841 81 21 ","3803","Hälteli 393","","http://www.beatenberg.ch/index.php?lg=1&top_id=1"
"Gemeindeverwaltung ","Beckenried","info@gv.beckenried.ch","041 624 46 22","6375","Emmetterstr.","3","http://www.beckenried.ch"
"Administration communale de Bavois","Bavois","greffe@bavois.ch","024 441 46 43","1372","Rue du Collège","14","http://www.bavois.ch"
"Municipio di Bedano","Bedano","info@bedano.ch","091 935 21 50","6930","Via St.Maria","6","http://www.bedano.ch"
"Municipio Bedigliora","Bedigliora","comune.bedigliora@bluewin.ch ","091 608 11 28 ","6981","","","http://www.bedigliora.ch"
"Gemeindeverwaltung Beggingen","Beggingen","gemeindekanzlei@beggingen.ch","052 682 00 23","8228","Dorfstrasse","4","http://www.beggingen.ch"
"Commune de Begnins","Begnins","greffe@begnins.ch","022 366 3040","1268","Rte de Saint-Cergue","14","http://www.begnins.ch/"
"Gemeindekanzlei","Beinwil (Freiamt)","gemeindekanzlei@beinwil.ch","056 668 18 60","5637","Kirchfeld ","5","http://www.beinwil.ch"
"Gemeindeverwaltung","Beinwil am See","gemeindekanzlei@beinwilamsee.ch","062 765 60 10","5712","","","http://www.beinwilamsee.ch"
"Gemeinde Beinwil","Beinwil (SO)","","061 791 15 12","4229","","","https://www.beinwil-so.ch/"
"Administration communale de Belfaux","Belfaux","commune@belfaux.ch","026 476 60 20","1782","ch. des Ecoliers","7","http://www.belfaux.ch"
"Gemeindeverwaltung","Bellikon","gemeindeverwaltung@bellikon.ch","056 485 83 83","5454","Mutschellenstr.","19","http://www.bellikon.ch/"
"Mairie de Bellevue","Bellevue","info@mairie-bellevue.ch","022 959 88 20","1293","rte de Lausanne","329","http://www.mairie-bellevue.ch/fr/"
"Cancelleria comunale","Bellinzona","cancelleria@bellinzona.ch","058 203 10 00","6500","Palazzo Civico","1","http://www.bellinzona.ch/"
"Einwohnergemeinde Bellach","Bellach","info@bellach.ch","032 617 36 36","4512","Dorfstrasse","3","http://www.bellach.ch"
"Gemeindeverwaltung","Bellmund","gemeindeverwaltung@bellmund.ch","032 333 70 90","2564","Hohlenweg","3","http://www.bellmund.ch"
"Commune de Belmont-Broye","Belmont-Broye","administration@belmont-broye.ch","026 672 33 33","1564","Pré-de-la-Cour","4","http://www.belmont-broye.ch/"
"Gemeindeverwaltung Bellwald","Bellwald","gemeinde@bellwald.ch","027 970 19 40","3997","","","http://www.bellwald.ch/gemeinde"
"Administration communale","Belprahon","secretariat@belprahon.ch","032 493 48 27","2744","Les Grands Clos","","http://www.belprahon.ch"
"Administration communale","Belmont-sur-Lausanne","mail@belmont.ch","021 721 17 21","1092","","","http://www.belmont.ch"
"Administration communale","Belmont-sur-Yverdon","greffe@belmont-sur-yverdon.ch","024 435 25 05","1432","Grand Rue","18","http://www.belmont-sur-yverdon.ch/"
"Gemeindeverwaltung Belp","Belp","info@belp.ch","031 818 22 22","3123","Gartenstr.","2","http://www.belp.ch/"
"Gemeindeverwaltung Benken (SG)","Benken (SG)","info@benken.sg.ch","055 293 30 30","8717","Dorfstr.","20","http://www.benken.ch"
"Gemeindeverwaltung Benken (ZH)","Benken (ZH)","info@benken.zh.ch","052 319 11 80","8463","Landstr.","1","http://www.benken-zh.ch"
"Gemeindeverwaltung","Bennwil","gemeinde@bennwil.bl.ch","061 951 12 54","4431","Hauptstr.","42","http://www.bennwil.ch/"
"Gemeindeverwaltung Berg (SG)","Berg (SG)","info@bergsg.ch","071 455 11 92","9305","Dorfstr.","17","http://www.bergsg.ch"
"Administration communale de Bercher","Bercher","greffe@bercher-vd.ch ","021 887 73 23","1038","Pl. du Collège","14","http://www.bercher-vd.ch"
"Gemeindeverwaltung Berg","Berg (TG)","gemeinde@berg-tg.ch","071 637 70 40","8572","Hauptstr.","43","http://www.berg-tg.ch"
"Gemeindeverwaltung","Berg am Irchel","gemeinde@berg-am-irchel.ch","052 318 11 89","8415","Winkel","13","http://www.berg-am-irchel.ch/"
"Gemeindeverwaltung","Bergdietikon","gemeindekanzlei@bergdietikon.ch","044 746 31 50","8962","Schulstrasse","6","http://www.bergdietikon.ch"
"Gemeindeverwaltung Bergün Filisur","Bergün Filisur","gemeinde@berguenfilisur.ch","081 410 40 40","7477","Dorfstrasse","38","https://www.berguenfilisur.ch"
"Gemeindeverwaltung","Berlingen","info@berlingen.ch ","058 346 11 11","8267","Seestr.","78","http://www.berlingen.ch/de/"
"Gemeindeverwaltung Beringen","Beringen","kanzlei@beringen.ch","052 687 24 24","8222","Zelgstr.","8","http://www.guntmadingen.ch/"
"Gemeindeverwaltung Berken","Berken","gs@inkwil.ch","062 961 15 51","3375","Subingenstr.","1","http://www.berken.ch/"
"Gemeindeverwaltung ","Berikon","gemeinde@berikon.ch","056 649 39 39","8965","Bahnhofstr.","69","http://www.berikon.ch"
"Stadtkanzlei","Bern","stadtkanzlei@bern.ch ","031 321 61 11","3000","Junkerngasse","47","http://www.bern.ch"
"Mairie de Bernex","Bernex","info@bernex.ch ","022 850 92 92","1233","rue de Bernex","313","http://www.bernex.ch/"
"Administration communale de Bettens","Bettens","commune.bettens@bluewin.ch","021 882 54 50","1042","Chemin Neuf ","1","https://sites.google.com/site/communedebettens/"
"Gemeinde Berneck","Berneck","kanzlei@berneck.ch","071 747 44 77","9442","Rathausplatz","1","http://www.berneck.ch/"
"Commune de Berolle","Berolle","berolle@bluewin.ch ","021 809 52 80 ","1149","Rte du Village 20","","http://www.berolle.ch"
"Gemeinde Beromünster","Beromünster","info@beromuenster.ch","041 932 14 14","6215","Fläcke","1","http://www.beromuenster.ch/"
"Gemeindeverwaltung Bettingen","Bettingen","philipp.wilde@bettingen.ch","061 606 99 99 ","4126","Talweg","2","http://www.bettingen.ch"
"Gemeindeverwaltung Besenbüren","Besenbüren","gemeindeverwaltung@besenbueren.ch","056 677 87 70","5627","Kantonsstr.","10","http://www.besenbueren.ch"
"Gemeindeverwaltung","Bettenhausen","gemeindeschreiberei@bettenhausen.ch","062 961 11 55","3366","Dorfstrasse","20","http://www.bettenhausen.ch"
"Einwohnergemeinde Bettlach","Bettlach","info@bettlach.ch","032 644 31 88","2544","Dorfstrasse","38","http://www.bettlach.ch/"
"Gemeinde Bettmeralp","Bettmeralp","gemeinde@bettmeralp.ch","027 927 13 13","3992","Haus Sennhitta","","https://www.gemeinde.bettmeralp.ch/"
"Gemeindeverwaltung Bettwil","Bettwil","gemeinde@bettwil.ch  ","056 667 25 16","5618","Schulhausstrasse","","http://www.bettwil.ch"
"Gemeindeverwaltung ","Bettwiesen","gemeinde@bettwiesen.ch","071 914 80 70","9553","Hauptstr.","46","http://www.bettwiesen.ch"
"Administration communale Beurnevésin","Beurnevésin","administration@beurnevesin.ch","032 474 42 33","2935","","","https://www.beurnevesin.ch/"
"Administration communale de Bex","Bex","commune@bex.ch","024 463 02 66","1880","rue centrale","1","http://www.bex.ch"
"Einwohnergemeinde Biberist","Biberist","ewgbiberist@biberist.ch","032 671 12 12","4562","Bernstrasse","4","http://www.biberist.ch"
"Amministrazione comunale Biasca","Biasca","info@biasca.ch","091 874 39 00 ","6710","via Lucomagno","14","http://www.biasca.ch"
"Gemeindeverwaltung Bever","Bever","gemeinde@gemeinde-bever.ch","081 851 00 10","7502","Fuschigna","4","http://www.bever.ch/"
"Gemeindeverwaltung Bibernstein","Biberstein","gemeindeverwaltung@biberstein-ag.ch","062 839 00 50","5023","Kirchbergstrasse","1","http://www.biberstein.ch"
"Gemeindeverwaltung ","Bichelsee-Balterswil","corina.kaiser@bichelsee-balterswil.ch","071 973 99 77","8362","Auenstr.","6","http://www.bichelsee-balterswil.ch"
"Gemeindeverwaltung","Biel-Benken","gemeinde@biel-benken.ch","061 726 82 82 ","4105","Kirchgasse ","9","http://www.biel-benken.ch"
"Chancellerie municipale","Biel/Bienne","info.chm@biel-bienne.ch","032 326 11 21","2501","Pont-du-Moulin","5","https://www.biel-bienne.ch/"
"Administration communale","Bière","greffe@biere-vd.ch","021 809 51 55","1145","Hôtel de Ville","4","http://www.biere-vd.ch"
"Gemeindeverwaltung","Biglen","gemeindeverwaltung@biglen.ch","031 701 11 33 ","3507","Hohle","19","http://www.biglen.ch/frames/frpresi.htm"
"Gemeindeverwaltung","Binningen","info@binningen.bl.ch ","061 425 51 51","4102","Curt-Goetz-Str.","1","http://www.binningen.ch/xml_1/internet/de/intro.cfm"
"Administration communale de Billens-Hennens","Billens-Hennens","commune@billens-hennens.ch","026 652 15 00","1681","Chemin de la Bioleyre","2","http://www.billens-hennens.ch"
"Municipio di Bioggio","Bioggio","cancelleria@bioggio.ch","091 611 10 50","6934","","","http://www.bioggio.ch"
"Gemeinde Binn","Binn","gemeinde@binn.ch","027 971 46 20","3996","Dorfstrasse","11","http://www.binn.ch/"
"Gemeinde Biezwil","Biezwil","blanca.iseli@bluewin.ch ","032 351 36 63 ","4585","Sunnenrain","176","http://www.biezwil.ch"
"Administration communale ","Bioley-Magnoux","greffe@bioley-magnoux.ch","024 433 16 62","1407","Ch. du Réservoir","9","http://www.bioley-magnoux.ch"
"Gemeindeverwaltung Birmensdorf (ZH)","Birmensdorf (ZH)","gemeinde@birmensdorf.zh.ch","044 739 12 00","8903","Stallikonerstrasse","9","http://www.birmensdorf.ch/de/"
